date,rank,ticker6,name,market_cap,predicted_gap,predicted_gap_net,vol_ratio,primary_driver,drivers_str
2026-06-05,2,000650,천일고속,312999180000,0.01773,0.01273,6.559,GOOGL,GOOGL:β+0.48@+1.77%
2026-06-05,3,038500,삼표시멘트,1136358702180,0.01278,0.00778,2.336,ITA,ITA:β+0.43@+1.28%
2026-06-05,1,347850,디앤디파마텍,4117589818000,0.05246,0.04746,3.682,XLV,XLV:β+1.16@+3.55%; XBI:β+0.61@+1.69%
2026-06-05,2,000650,천일고속,312999180000,0.01773,0.01273,6.559,GOOGL,GOOGL:β+0.48@+1.77%
2026-06-05,3,038500,삼표시멘트,1136358702180,0.01278,0.00778,2.336,ITA,ITA:β+0.43@+1.28%
2026-06-08,1,003220,대원제약,252086032920,0.01477,0.00977,1.663,AVGO,AVGO:β-0.19@+1.48%
2026-06-08,1,003220,대원제약,252086032920,0.01477,0.00977,1.663,AVGO,AVGO:β-0.19@+1.48%
2026-06-09,1,001740,SK네트웍스,2186473390100,0.04951,0.04451,5.258,SMH,XLK:β+0.62@+1.34%; EWY:β+0.28@+1.67%; SMH:β+0.39@+1.94%
2026-06-09,2,090360,로보스타,1443975000000,0.03641,0.03141,4.314,XLK,XLK:β+1.10@+2.36%; SMCI:β+0.23@+1.28%
2026-06-09,3,017670,SK텔레콤,22853661639200,0.03212,0.02712,3.725,EWY,XLK:β+0.51@+1.11%; EWY:β+0.23@+1.36%; TSM:β+0.26@+0.74%
2026-06-10,1,397030,에이프릴바이오,970503087700,0.02801,0.02301,2.863,XLB,XLB:β+0.93@+1.51%; XBI:β+0.56@+1.30%
2026-06-10,2,347850,디앤디파마텍,3924851571200,0.01499,0.00999,3.635,XBI,XBI:β+0.65@+1.50%
2026-06-10,1,397030,에이프릴바이오,970503087700,0.02801,0.02301,2.863,XLB,XLB:β+0.93@+1.51%; XBI:β+0.56@+1.30%
2026-06-10,2,347850,디앤디파마텍,3924851571200,0.01499,0.00999,3.635,XBI,XBI:β+0.65@+1.50%
2026-06-11,1,046070,코다코,159196994920,0.08388,0.07888,,EWY,EWY:β-2.76@+8.39%
2026-06-11,1,046070,코다코,159196994920,0.08388,0.07888,,EWY,EWY:β-2.76@+8.39%
2026-06-12,1,059090,미코,740181632700,0.12235,0.11735,7.369,SMH,XLK:β+1.07@+4.00%; SMH:β+0.72@+4.88%; MU:β+0.29@+3.36%
2026-06-12,2,460930,현대힘스,472647031010,0.07099,0.06599,7.267,EWY,EWY:β+0.26@+2.94%; SMH:β+0.34@+2.33%; XLK:β+0.49@+1.83%
2026-06-12,3,124500,아이티센글로벌,1007076471800,0.07829,0.07329,6.135,XLK,XLK:β+0.91@+3.40%; URA:β+0.38@+2.23%; XBI:β+0.73@+2.20%
2026-06-12,1,059090,미코,740181632700,0.12235,0.11735,7.369,SMH,XLK:β+1.07@+4.00%; SMH:β+0.72@+4.88%; MU:β+0.29@+3.36%
2026-06-12,2,460930,현대힘스,472647031010,0.07099,0.06599,7.267,EWY,EWY:β+0.26@+2.94%; SMH:β+0.34@+2.33%; XLK:β+0.49@+1.83%
2026-06-12,3,124500,아이티센글로벌,1007076471800,0.07829,0.07329,6.135,XLK,XLK:β+0.91@+3.40%; URA:β+0.38@+2.23%; XBI:β+0.73@+2.20%
2026-06-15,1,089030,테크윙,2419603018500,0.01419,0.00919,7.92,SMH,SMH:β+0.82@+1.42%
2026-06-15,2,000990,DB하이텍,7582849688400,0.02166,0.01666,4.354,AMD,SMH:β+0.58@+1.01%; AMD:β+0.24@+1.16%
2026-06-15,3,130660,한전산업,440426000000,0.02084,0.01584,1.552,XLB,URA:β+0.31@+0.47%; XLB:β+0.86@+1.61%
2026-06-15,1,089030,테크윙,2419603018500,0.01419,0.00919,7.92,SMH,SMH:β+0.82@+1.42%
2026-06-15,2,000990,DB하이텍,7582849688400,0.02166,0.01666,4.354,AMD,SMH:β+0.58@+1.01%; AMD:β+0.24@+1.16%
2026-06-15,3,130660,한전산업,440426000000,0.02084,0.01584,1.552,XLB,URA:β+0.31@+0.47%; XLB:β+0.86@+1.61%
2026-06-16,1,093370,후성,2402519392000,0.08589,0.08089,9.622,XLK,XLK:β+0.87@+3.29%; SMH:β+0.57@+2.48%; MU:β+0.26@+2.82%
2026-06-16,2,003490,대한항공,11046619830000,0.04841,0.04341,6.155,EWY,SMH:β+0.40@+1.73%; XLY:β+0.70@+1.19%; EWY:β+0.27@+1.92%
2026-06-16,3,098070,한텍,361437082500,0.03919,0.03419,2.133,SMH,URA:β+0.22@+1.24%; AMD:β+0.18@+1.26%; SMH:β+0.32@+1.42%
2026-06-16,1,093370,후성,2402519392000,0.08589,0.08089,9.622,XLK,XLK:β+0.87@+3.29%; SMH:β+0.57@+2.48%; MU:β+0.26@+2.82%
2026-06-16,2,003490,대한항공,11046619830000,0.04841,0.04341,6.155,EWY,SMH:β+0.40@+1.73%; XLY:β+0.70@+1.19%; EWY:β+0.27@+1.92%
2026-06-16,3,098070,한텍,361437082500,0.03919,0.03419,2.133,SMH,URA:β+0.22@+1.24%; AMD:β+0.18@+1.26%; SMH:β+0.32@+1.42%
2026-06-17,1,046070,코다코,159196994920,0.06721,0.06221,,EWY,EWY:β-2.57@+6.72%
2026-06-17,2,003220,대원제약,203642453640,0.0169,0.0119,2.78,AVGO,AVGO:β-0.26@+1.12%; EWY:β-0.22@+0.57%
2026-06-17,3,389260,대명에너지,296515178750,0.00572,0.00072,,SMCI,SMCI:β-0.11@+0.57%
2026-06-17,1,046070,코다코,159196994920,0.06721,0.06221,,EWY,EWY:β-2.57@+6.72%
2026-06-17,2,003220,대원제약,203642453640,0.0169,0.0119,2.78,AVGO,AVGO:β-0.26@+1.12%; EWY:β-0.22@+0.57%
2026-06-17,3,389260,대명에너지,296515178750,0.00572,0.00072,,SMCI,SMCI:β-0.11@+0.57%
2026-06-18,1,494120,큐리오시스,254075070600,0.02613,0.02113,2.593,XBI,XBI:β+0.87@+2.61%
2026-06-18,2,452280,한선엔지니어링,331059924000,0.01396,0.00896,3.623,AVGO,AVGO:β+0.32@+1.40%
2026-06-18,3,080220,제주반도체,3840375879500,0.00823,0.00323,2.822,MU,MU:β+0.37@+0.82%
2026-06-18,1,494120,큐리오시스,254075070600,0.02613,0.02113,2.593,XBI,XBI:β+0.87@+2.61%
2026-06-18,2,452280,한선엔지니어링,331059924000,0.01396,0.00896,3.623,AVGO,AVGO:β+0.32@+1.40%
2026-06-18,3,080220,제주반도체,3840375879500,0.00823,0.00323,2.822,MU,MU:β+0.37@+0.82%
2026-06-19,1,000500,가온전선,6377370832500,0.12575,0.12075,4.54,SMH,XLK:β+1.30@+3.96%; SMH:β+0.82@+4.72%; EWY:β+0.57@+3.90%
2026-06-19,2,058430,포스코스틸리온,357000000000,0.04469,0.03969,8.915,TSM,TSM:β+0.25@+1.74%; XLK:β+0.39@+1.20%; SMH:β+0.27@+1.53%
2026-06-19,3,130660,한전산업,430320000000,0.01937,0.01437,9.924,XLK,XLK:β+0.64@+1.94%
2026-06-19,1,000500,가온전선,6377370832500,0.12575,0.12075,4.54,SMH,XLK:β+1.30@+3.96%; SMH:β+0.82@+4.72%; EWY:β+0.57@+3.90%
2026-06-19,2,058430,포스코스틸리온,357000000000,0.04469,0.03969,8.915,TSM,TSM:β+0.25@+1.74%; XLK:β+0.39@+1.20%; SMH:β+0.27@+1.53%
2026-06-19,3,130660,한전산업,430320000000,0.01937,0.01437,9.924,XLK,XLK:β+0.64@+1.94%
2026-06-22,1,009155,삼성전기우,2351750056000,0.11772,0.11272,4.79,SMH,SMH:β+0.81@+4.69%; XLK:β+1.17@+3.55%; EWY:β+0.51@+3.53%
2026-06-22,2,047770,코데즈컴바인,126772716700,0.02618,0.02118,7.156,TSM,XLK:β+0.36@+1.10%; TSM:β+0.22@+1.52%
2026-06-22,3,469610,이노테크,151313868000,0.02163,0.01663,4.958,XLK,XLK:β+0.71@+2.16%
2026-06-22,1,009155,삼성전기우,2351750056000,0.11772,0.11272,4.79,SMH,SMH:β+0.81@+4.69%; XLK:β+1.17@+3.55%; EWY:β+0.51@+3.53%
2026-06-22,2,047770,코데즈컴바인,126772716700,0.02618,0.02118,7.156,TSM,XLK:β+0.36@+1.10%; TSM:β+0.22@+1.52%
2026-06-22,3,469610,이노테크,151313868000,0.02163,0.01663,4.958,XLK,XLK:β+0.71@+2.16%
2026-06-23,1,080220,제주반도체,4615339622000,0.025,0.02,3.364,MU,MU:β+0.37@+2.50%
2026-06-23,2,009470,삼화전기,230160936000,0.02529,0.02029,3.194,XBI,XBI:β+0.69@+2.53%
2026-06-23,3,195870,해성디에스,1460300000000,0.0101,0.0051,1.512,AMD,AMD:β+0.38@+1.01%
2026-06-23,1,080220,제주반도체,4615339622000,0.025,0.02,3.364,MU,MU:β+0.37@+2.50%
2026-06-23,2,009470,삼화전기,230160936000,0.02529,0.02029,3.194,XBI,XBI:β+0.69@+2.53%
2026-06-23,3,195870,해성디에스,1460300000000,0.0101,0.0051,1.512,AMD,AMD:β+0.38@+1.01%
2026-06-24,1,046070,코다코,159196994920,0.3028,0.2978,,EWY,EWY:β-2.47@+30.28%
2026-06-24,1,046070,코다코,159196994920,0.3028,0.2978,,EWY,EWY:β-2.47@+30.28%
