code,snapshot_date,Unnamed: 0,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
294870,2026-05-13,289,KR7294870001,IPARK현대산업개발,KOSPI,,22650,1,100,0.44,22550,22800,22050,285931,6417690100,1492801024500,65907330,STK
004000,2026-05-13,290,KR7004000006,롯데정밀화학,KOSPI,,57500,2,-1400,-2.38,58300,59400,57000,87218,5034314200,1483500000000,25800000,STK
195870,2026-05-13,291,KR7195870001,해성디에스,KOSPI,,86800,1,5500,6.77,78800,87600,77300,327233,27718019750,1475600000000,17000000,STK
281820,2026-05-13,292,KR7281820001,케이씨텍,KOSPI,,74300,1,5900,8.63,66200,74300,66000,176405,12680908700,1471040512300,19798661,STK
032350,2026-05-13,293,KR7032350001,롯데관광개발,KOSPI,,18480,1,130,0.71,18600,18890,17500,506575,9383297960,1471035239520,79601474,STK
096530,2026-05-13,294,KR7096530001,씨젠,KOSDAQ,우량기업부,27900,2,-100,-0.36,28950,29200,26900,568202,15698236225,1457105232600,52225994,KSQ
001800,2026-05-13,295,KR7001800002,오리온홀딩스,KOSPI,,23150,2,-600,-2.53,23700,23800,23050,96444,2242537750,1450241519300,62645422,STK
012630,2026-05-13,296,KR7012630000,HDC,KOSPI,,24150,2,-1100,-4.36,25300,25800,23550,308425,7559526675,1442762562150,59741721,STK
089970,2026-05-13,297,KR7089970008,브이엠,KOSDAQ,우량기업부,58100,2,-1900,-3.17,59600,59600,56150,376324,21604878600,1439252909500,24771995,KSQ
032500,2026-05-13,299,KR7032500001,케이엠더블유,KOSDAQ,중견기업부,33500,2,-1050,-3.04,33250,33950,31800,441013,14443456100,1412188312500,42154875,KSQ
073240,2026-05-13,300,KR7073240004,금호타이어,KOSPI,,4915,2,-215,-4.19,5130,5150,4900,1541668,7649414032,1411884310605,287260287,STK
051915,2026-05-13,301,KR7051911006,LG화학우,KOSPI,,182400,2,-200,-0.11,182600,185500,178200,43261,7875518200,1402437120000,7688800,STK
127120,2026-05-13,302,KR7127120004,제이에스링크,KOSDAQ,벤처기업부,40400,1,150,0.37,40100,40950,38000,223280,8901430900,1396778732400,34573731,KSQ
034230,2026-05-13,303,KR7034230003,파라다이스,KOSPI,,14990,1,180,1.22,14840,15200,14670,647243,9703527550,1388514436180,92629382,STK
020560,2026-05-13,304,KR7020560009,아시아나항공,KOSPI,,6730,2,-80,-1.17,6810,6860,6730,101422,688229250,1386317485030,205990711,STK
085660,2026-05-13,305,KR7085660009,차바이오텍,KOSDAQ,중견기업부,14890,2,-520,-3.37,15950,15950,14850,463627,7009381950,1384319547720,92969748,KSQ
065350,2026-05-13,306,KR7065350001,신성델타테크,KOSDAQ,우량기업부,50300,2,-700,-1.37,50700,51600,50100,113061,5717833450,1382442584400,27483948,KSQ
007310,2026-05-13,307,KR7007310006,오뚜기,KOSPI,,344500,2,-3000,-0.86,351500,352000,344500,4686,1621080250,1380697435000,4007830,STK
281740,2026-05-13,309,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,20300,1,670,3.41,19630,20700,19310,680277,13635846985,1334330124400,65730548,KSQ
100090,2026-05-13,310,KR7100090000,SK오션플랜트,KOSPI,,21350,1,900,4.4,21600,21850,20550,709645,15052554175,1333908054150,62478129,STK
036540,2026-05-13,311,KR7036540003,SFA반도체,KOSDAQ,중견기업부,8050,1,60,0.75,7810,8260,7650,2553344,20394041000,1323905439150,164460303,KSQ
003470,2026-05-13,312,KR7003470002,유안타증권,KOSPI,,6570,1,20,0.31,6470,6590,6240,1844472,11868649670,1311349504320,199596576,STK
439960,2026-05-13,313,KR7439960006,코스모로보틱스,KOSDAQ,기술성장기업부,40550,4,9350,29.97,35500,40550,35000,10297371,398418692800,1302016138300,32108906,KSQ
000210,2026-05-13,314,KR7000210005,DL,KOSPI,,62000,1,300,0.49,61800,63000,59700,113832,7058509000,1299264808000,20955884,STK
093370,2026-05-13,315,KR7093370005,후성,KOSPI,,12030,2,-370,-2.98,12130,12340,11830,1326177,15941767745,1290281619900,107255330,STK
490470,2026-05-13,316,KR7490470002,세미파이브,KOSDAQ,기술성장기업부,37600,2,-1250,-3.22,37500,38650,36150,1048551,39096218575,1273090880000,33858800,KSQ
124500,2026-05-13,317,KR7124500000,아이티센글로벌,KOSDAQ,우량기업부,54800,1,200,0.37,53000,55800,52600,150542,8204273350,1271608079600,23204527,KSQ
033790,2026-05-13,318,KR7033790007,피노,KOSDAQ,중견기업부,15340,1,100,0.66,15010,15810,14820,2282748,34883913925,1262969627920,82331788,KSQ
160190,2026-05-13,319,KR7160190005,하이젠알앤엠,KOSDAQ,투자주의환기종목(소속부없음),40800,2,-800,-1.92,41900,42850,40150,143960,5979166900,1260230400000,30888000,KSQ
161580,2026-05-13,320,KR7161580006,필옵틱스,KOSDAQ,중견기업부,53600,2,-200,-0.37,51900,53600,50600,406611,21173407450,1256504439200,23442247,KSQ
066575,2026-05-13,321,KR7066571001,LG전자우,KOSPI,,72800,2,-800,-1.09,74000,74800,70100,509278,37124060100,1251140217600,17185992,STK
082640,2026-05-13,323,KR7082640004,동양생명,KOSPI,,7750,2,-40,-0.51,7780,7920,7680,359344,2785190720,1250529033750,161358585,STK
006110,2026-05-13,325,KR7006110001,삼아알미늄,KOSPI,,81100,1,1800,2.27,83900,87800,75900,523225,43043505850,1226512200500,15123455,STK
083450,2026-05-13,326,KR7083450007,GST,KOSDAQ,우량기업부,66500,1,2800,4.4,60700,67300,59600,480066,30464651400,1225595000000,18430000,KSQ
415640,2026-05-13,327,KR7415640002,KB발해인프라,KOSPI,,9960,1,60,0.61,9900,9990,9860,107969,1070935065,1220553658080,122545548,STK
001740,2026-05-13,328,KR7001740000,SK네트웍스,KOSPI,,6080,2,-150,-2.41,6240,6280,6050,1532875,9412151450,1219610845120,200593889,STK
003090,2026-05-13,329,KR7003090008,대웅,KOSPI,,20950,2,-600,-2.78,21700,21950,20850,64668,1370061525,1218074481000,58141980,STK
