date,rank,ticker6,name,primary_driver,predicted,predicted_net,actual,vol_ratio,strategy_name
2026-04-20,1,356680,엑스게이트,XLY,0.05040719199879454,0.04540719199879454,-0.00266844563042028,142.17459666636955,no_vol_cap
2026-04-20,2,115500,케이씨에스,TSLA,0.022222147384569037,0.017222147384569036,0.12485939257592801,116.11470669610647,no_vol_cap
2026-04-20,3,084650,랩지노믹스,XLI,0.016681737995016155,0.011681737995016154,-0.07653910149750416,158.3753087334311,no_vol_cap
2026-04-21,1,000300,DH오토넥스,NFLX,0.188103815830055,0.183103815830055,0.0,,no_vol_cap
2026-04-22,1,000300,DH오토넥스,NFLX,0.18567367552708447,0.18067367552708447,0.0,,no_vol_cap
2026-04-22,2,051980,중앙첨단소재,AMD,0.01032711068124287,0.00532711068124287,0.03278688524590164,7.56036890783621,no_vol_cap
2026-04-22,3,119610,인터로조,AAPL,0.00594981701341794,0.0009498170134179399,0.02195121951219512,1.5032731565916881,no_vol_cap
2026-04-23,1,452190,한빛레이저,MU,0.049671782820022506,0.04467178282002251,-0.015759312320916905,167.3253155180866,no_vol_cap
2026-04-23,2,273640,와이엠텍,EWY,0.01380648112661768,0.00880648112661768,0.04433497536945813,175.22285203565633,no_vol_cap
2026-04-23,3,064820,케이프,URA,0.04308354577950455,0.038083545779504555,-0.024065864471184292,32.9600891559737,no_vol_cap
2026-04-24,1,130660,한전산업,XLI,0.01845845975159539,0.013458459751595389,0.002386634844868735,7.836211308962582,no_vol_cap
2026-04-24,2,003280,흥아해운,EWY,0.023251043242000308,0.018251043242000307,0.006339144215530904,1.9733757180201983,no_vol_cap
2026-04-24,3,134380,미원화학,MSFT,0.009165893046707837,0.004165893046707837,0.0,3.16585548483714,no_vol_cap
2026-04-27,1,308080,바이젠셀,TSM,0.05492420922681297,0.049924209226812975,0.05357142857142857,78.50171715314396,no_vol_cap
2026-04-27,2,036540,SFA반도체,SMH,0.12761300277186896,0.12261300277186896,0.05705394190871369,21.50255688752095,no_vol_cap
2026-04-27,3,092220,KEC,AMD,0.04436364879558382,0.03936364879558382,0.0005344735435595938,14.298061560423184,no_vol_cap
