ticker6,name,market_cap,sma5,sma20,sma60,high20,prev_close,rsi14,vol_median20,macd_state,chg5d_pct
316140,우리금융지주,24172577442400.0,32690.0,31480.0,30897.17,33600.0,33350.0,61.55,2213396.0,bullish,0.76
015760,한국전력,22565037306550.0,33820.0,34927.5,37532.5,39150.0,34500.0,45.85,1619122.0,bullish,-4.7
010130,고려아연,21791379636000.0,963400.0,1012250.0,1195104.5,1113000.0,1020000.0,46.94,15657.0,bullish,-0.87
000150,두산,20630945790000.0,1070600.0,1200150.0,1502232.25,1410000.0,1238000.0,48.92,94219.0,golden_cross,3.43
138040,메리츠금융지주,19997999123500.0,120820.0,117210.0,110748.33,125600.0,120300.0,56.04,264149.0,bullish,-4.22
011200,HMM,19996644964000.0,20520.0,20200.0,19880.0,21650.0,20750.0,55.49,1410528.0,bullish,0.48
017670,SK텔레콤,19631810844200.0,80480.0,86940.0,94946.76,100000.0,82000.0,42.21,1199048.0,bearish,-16.24
042700,한미반도체,19348376600000.0,186340.0,210595.0,275090.0,269500.0,202500.0,45.05,794561.0,golden_cross,-0.98
006800,미래에셋증권,19053252264000.0,32350.0,37882.5,50688.33,44750.0,33250.0,37.52,1940782.0,bearish,-10.26
010140,삼성중공업,19052000000000.0,20580.0,21697.5,25632.5,23700.0,20900.0,42.96,3923547.0,bullish,-7.73
096770,SK이노베이션,18815575304400.0,111460.0,112170.0,111923.33,132200.0,108000.0,47.24,800882.0,bearish,-7.46
033780,KT&G,18229116073600.0,180960.0,178585.0,179140.0,185800.0,175600.0,46.26,278918.0,bullish,-3.83
051910,LG화학,18106935979500.0,244700.0,256125.0,313566.67,276500.0,247000.0,41.79,233847.0,bullish,-5.0
079550,LIG디펜스앤에어로스페이스,17622000000000.0,671200.0,712550.0,784833.33,815000.0,699000.0,47.28,143662.0,golden_cross,0.43
018260,삼성에스디에스,16984427100000.0,201100.0,199305.0,210156.67,218000.0,203000.0,50.05,278472.0,bullish,-6.67
035720,카카오,16788982553000.0,36340.0,35600.0,38466.67,37400.0,37200.0,53.68,1894036.0,bullish,0.4
267250,HD현대,16470058222500.0,194880.0,202085.0,236316.94,231500.0,198600.0,44.91,168909.0,bullish,-5.65
024110,기업은행,16227616434150.0,20305.58,20744.3,20673.73,21375.45,20250.0,45.56,1227898.0,bearish,-4.16
003550,LG,15421584408000.0,96500.0,98830.0,108300.0,102500.0,99700.0,49.36,330959.0,bullish,2.05
064350,현대로템,15269006790700.0,125320.0,154645.0,185680.0,195700.0,129700.0,37.2,637566.0,bearish,-2.11
086280,현대글로비스,15000000000000.0,194140.0,193305.0,209791.67,207000.0,199900.0,52.15,204070.0,bullish,-2.25
010950,S-Oil,14162915233600.0,127000.0,135005.0,117888.33,151200.0,121700.0,44.54,470186.0,bearish,-10.78
278470,에이피알,13459016722500.0,324754.76,359809.71,382386.96,406746.03,338000.0,43.41,209790.0,bearish,-3.89
047810,한국항공우주,13402827212500.0,126440.0,143760.0,150501.67,164100.0,123700.0,38.9,450856.0,bearish,-15.39
030200,KT,13180734125500.0,52920.0,53085.51,53931.04,57360.29,52200.0,45.75,413672.0,bullish,-2.97
272210,한화시스템,13054329779900.0,59220.0,64680.0,86100.0,80900.0,63100.0,43.76,808922.0,bullish,0.16
003670,포스코퓨처엠,12701520216000.0,131940.0,143480.0,190575.0,159500.0,136800.0,41.26,297590.0,bullish,-4.74
011070,LG이노텍,12425231175000.0,484600.0,639600.0,876300.0,855000.0,513000.0,34.9,281540.0,bearish,-16.45
000720,현대건설,11302610147500.0,90160.0,99205.0,124370.0,115000.0,95600.0,44.23,537239.0,bullish,-7.72
071050,한국금융지주,11284513380000.0,192460.0,218265.0,231596.67,249500.0,196900.0,42.6,245550.0,bearish,-7.34
259960,크래프톤,10980804254000.0,245000.0,239025.0,246458.33,259000.0,235000.0,47.45,102890.0,bullish,-5.24
307950,현대오토에버,10805048908000.0,348400.0,403075.0,571750.0,494500.0,382500.0,41.92,89358.0,bullish,-2.92
323410,카카오뱅크,10425081548450.0,21640.0,22227.5,22331.67,23300.0,21850.0,48.04,920164.0,bearish,-1.35
005940,NH투자증권,10282390024250.0,27230.0,29612.5,30899.17,33100.0,27600.0,43.53,800958.0,bearish,-5.64
005830,DB손해보험,10139454025200.0,158040.0,158415.0,151793.33,167900.0,156600.0,50.61,238612.0,bearish,-4.16
003490,대한항공,9610559252100.0,25360.0,26252.5,26594.17,29150.0,26200.0,49.78,3102512.0,bearish,-0.95
0126Z0,삼성에피스홀딩스,9604856914000.0,362600.0,379925.0,433833.33,408500.0,369500.0,43.55,47888.0,bullish,-5.74
